Λέξη 1    Θέση 1    Αρ.Γραμμάτων1  Λέξη 2    Θέση 2    Αρ.Γραμμάτων2  Μορφοποίηση    Αρχή χρόνου απάντησης         Απάντηση       Τέλος χρόνου απάντησης        
lbmrqsf   1         7              rzszn     5         5              3              2016-06-13 12:57:38.361       1              2016-06-13 12:57:39.484       
pdrvphxm  9         8              wfjkzj    7         6              1              2016-06-13 12:57:42.498       7              2016-06-13 12:57:44.243       
qbnhl     7         5              bfbbjc    5         6              2              2016-06-13 12:57:47.253       0              2016-06-13 12:57:48.068       
khsfbmtl  1         8              dggfw     3         5              2              2016-06-13 12:57:51.078       1              2016-06-13 12:57:53.212       
pqstsqk   3         7              qrdbc     7         5              3              2016-06-13 12:57:56.227       0              2016-06-13 12:57:58.059       
zctgg     9         5              szrcvspp  5         8              1              2016-06-13 12:58:01.067       5              2016-06-13 12:58:01.819       
tsldrx    7         6              nxzvnj    5         6              4              2016-06-13 12:58:04.83        0              2016-06-13 12:58:05.62        
vstpcc    1         6              ttcxjz    9         6              4              2016-06-13 12:58:08.632       0              2016-06-13 12:58:09.092       
rqxzm     9         5              vpdmvk    7         6              1              2016-06-13 12:58:12.098       7              2016-06-13 12:58:13.332       
grkcbg    7         6              vxjfwqcq  3         8              1              2016-06-13 12:58:16.339       0              2016-06-13 12:58:17.051       
xkppd     5         5              mjzczckl  3         8              4              2016-06-13 12:58:20.062       5              2016-06-13 12:58:20.86        
gvqwsz    5         6              qmzwgccv  3         8              2              2016-06-13 12:58:23.869       5              2016-06-13 12:58:24.34        
mhnhjb    5         6              zzslq     3         5              2              2016-06-13 12:58:27.349       5              2016-06-13 12:58:27.772       
bhdhlp    9         6              dzscfvbp  7         8              3              2016-06-13 12:58:30.784       9              2016-06-13 12:58:32.259       
szqhdvj   1         7              klbfnlhm  5         8              3              2016-06-13 12:58:35.27        0              2016-06-13 12:58:35.817       
fnmvt     7         5              zhxgcxck  5         8              4              2016-06-13 12:58:38.829       7              2016-06-13 12:58:39.524       
